ID,Instagram_Handle,Link,Followers,Location,Category
1,@lalenslove,https://www.instagram.com/lalenslove/,770,Torrance/LA,Photography/Lifestyle
2,@letushavecake,https://www.instagram.com/letushavecake/,3100,California,Lifestyle/Food/Family
3,@lovelylifeofshaunte,https://www.instagram.com/lovelylifeofshaunte/,2800,Newport Beach,Lifestyle/Food
4,@lorengraceprovins,https://www.instagram.com/lorengraceprovins/,1700,San Francisco,Lifestyle/Food
5,@tunikova.k,https://www.instagram.com/tunikova.k/,9800,Los Angeles,Lifestyle
6,@anya.nikita,https://www.instagram.com/anya.nikita/,9800,California,Lifestyle/Travel
7,@hey.liliia,https://www.instagram.com/hey.liliia/,9500,Los Angeles,Lifestyle
8,@ms.aisha.entrepreneurlife,https://www.instagram.com/ms.aisha.entrepreneurlife/,8200,Lawndale,Wellness/Lifestyle
9,@froilinhammersla,https://www.instagram.com/froilinhammersla/,6200,California,Lifestyle
10,@sydney_sowarby,https://www.instagram.com/sydney_sowarby/,8400,San Diego,Lifestyle
11,@livingbarelyblonde,https://www.instagram.com/livingbarelyblonde/,7700,California,Fashion/Lifestyle
12,@sarahandthesunn,https://www.instagram.com/sarahandthesunn/,5500,San Diego,Lifestyle/Fashion
13,@fashion_cutie,https://www.instagram.com/fashion_cutie/,3700,San Diego,Fashion/Lifestyle
14,@theposhlife_,https://www.instagram.com/theposhlife_/,8500,Los Angeles,Lifestyle/Food/Beauty
15,@vegasandfood,https://www.instagram.com/vegasandfood/,10000,Koreatown/DTLA,Food/Lifestyle
16,@vika_shevi,https://www.instagram.com/vika_shevi/,9300,Los Angeles,DJ/Lifestyle
17,@hikarimurakami,https://www.instagram.com/hikarimurakami/,10000,Orange County,Lifestyle/Japanese Cooking
18,@hungrylagirl,https://www.instagram.com/hungrylagirl/,5971,Los Angeles,Foodie
19,@8sasharie8,https://www.instagram.com/8sasharie8/,1319,Los Angeles,Food/Explorer
20,@lindathefoodie,https://www.instagram.com/lindathefoodie/,5256,Los Angeles,Food/Recipes
21,@kaiboyer,https://www.instagram.com/kaiboyer/,10500,Orange,Fitness/Lifestyle
22,@smoceramics,https://www.instagram.com/smoceramics/,6400,Long Beach,Ceramics/Lifestyle
23,@themathewsfam,https://www.instagram.com/themathewsfam/,5300,Long Beach,Family
24,@thencrea,https://www.instagram.com/thencrea/,8300,Long Beach,Real Estate
25,@breeziepuffs,https://www.instagram.com/breeziepuffs/,4000,Long Beach,Lifestyle
26,@tomas_delamora,https://www.instagram.com/tomas_delamora/,3400,Long Beach,Fitness
27,@commercialagentacademy,https://www.instagram.com/commercialagentacademy/,2000,Long Beach,Real Estate
28,@princesspurpley,https://www.instagram.com/princesspurpley/,14500,San Diego,Food/Fun
29,@lindaminjukim,https://www.instagram.com/lindaminjukim/,10900,LA/OC,Beauty/Fashion/Travel
30,@influencersandiego,https://www.instagram.com/influencersandiego/,15600,San Diego,Lifestyle
31,@beckypluseli,https://www.instagram.com/beckypluseli/,25300,Riverside,Lifestyle/Pop Culture
32,@cherayeslifestyle,https://www.instagram.com/cherayeslifestyle/,29600,Los Angeles,Luxury/Beauty
33,@aliciatenise,https://www.instagram.com/aliciatenise/,31600,Los Angeles,Travel/Style
34,@vivacristina,https://www.instagram.com/vivacristina/,35400,Los Angeles,Motherhood
35,@theregojonboe,https://www.instagram.com/theregojonboe/,22000,San Diego,Fitness/Food/Fashion
36,@foodie.la,https://www.instagram.com/foodie.la/,1622,Los Angeles,Food
37,@foodiejudge,https://www.instagram.com/foodiejudge/,9722,Los Angeles,Food
38,@beachcitiesmoms,https://www.instagram.com/beachcitiesmoms/,6406,Beach Cities,Family/Lifestyle
39,@redondobeachpier,https://www.instagram.com/redondobeachpier/,1237,Redondo Beach,Local
40,@hangarinn,https://www.instagram.com/hangarinn/,6145,Manhattan Beach,Restaurant
41,@monavand,https://www.instagram.com/monavand/,378,Los Angeles,Wellness
42,@foodiswhyimbroke,https://www.instagram.com/foodiswhyimbroke/,197000,San Francisco,Food
43,@siliconvalley.foodies,https://www.instagram.com/siliconvalley.foodies/,142900,Bay Area,Food
44,@allie.eats,https://www.instagram.com/allie.eats/,150200,San Francisco,Food
45,@jessieeats,https://www.instagram.com/jessieeats/,27000,Los Angeles,Food
