ID,Instagram Link,Followers,Location,Category
1,https://www.instagram.com/teaseats/,33700,Los Angeles,Food/Travel
2,https://www.instagram.com/adventureswithgi/,30100,Los Angeles,Food/Travel
3,https://www.instagram.com/jill.akemi/,27300,Los Angeles,Food/Travel
4,https://www.instagram.com/jessie_eats/,27000,Los Angeles,Food
5,https://www.instagram.com/takeonefortheroad/,22200,Los Angeles,Food/Travel
6,https://www.instagram.com/dandy.eats/,18800,Los Angeles,Food
7,https://www.instagram.com/my_adorkable_adventures/,18400,Los Angeles,Food/Travel
8,https://www.instagram.com/tanayas.table/,18400,Los Angeles,Food/Host
9,https://www.instagram.com/bunchofgarlic/,18100,Los Angeles,Food
10,https://www.instagram.com/thefoodiesaur/,18900,Torrance/OC,Food/Travel
11,https://www.instagram.com/lafoodie/,13600,Los Angeles,Food
12,https://www.instagram.com/aveganandher/,13600,Los Angeles,Food/Vegan
13,https://www.instagram.com/itsthenoms/,17600,San Jose,Food
14,https://www.instagram.com/nomwiththomas/,17500,LA/OC,Food
15,https://www.instagram.com/hungrywithannie/,17400,LA/OC/626,Food
16,https://www.instagram.com/chatwithcat/,16900,LA/OC/Vegas,Food/Lifestyle
17,https://www.instagram.com/lynnstheory/,16000,Los Angeles,Lifestyle/Food
18,https://www.instagram.com/samcraves/,15100,Los Angeles,Food
19,https://www.instagram.com/thesavorystyle/,13800,South Bay LA,Food/Travel
20,https://www.instagram.com/breazoleta/,17700,Los Angeles,Fitness/Lifestyle
21,https://www.instagram.com/kathy.hrndz/,20900,Los Angeles,Lifestyle
22,https://www.instagram.com/kirraberglund/,23500,San Diego,Lifestyle
23,https://www.instagram.com/andiefitzgerald/,38400,California,Lifestyle
24,https://www.instagram.com/socalkyla/,26400,San Diego,Lifestyle
25,https://www.instagram.com/mystylemuse/,13600,Vacaville,Fashion/Lifestyle
26,https://www.instagram.com/kris_zahrebelna/,13400,Los Angeles,Lifestyle
27,https://www.instagram.com/herstorey/,13300,San Francisco,Lifestyle/Food
28,https://www.instagram.com/paulachristii/,16600,California,Fashion/Lifestyle
29,https://www.instagram.com/katrinamalaiba/,26100,South Bay LA,Lifestyle
30,https://www.instagram.com/itslaurenkat/,18600,Los Angeles,Travel/Lifestyle
31,https://www.instagram.com/highrise_hostess/,22900,Los Angeles,Beauty/Home
32,https://www.instagram.com/lizinlosangeles/,29700,Los Angeles,Fashion/Travel
33,https://www.instagram.com/girlnamedjazz/,17500,Los Angeles,Beauty/Lifestyle
34,https://www.instagram.com/adamfoodstyle/,24800,Long Beach,Food
35,https://www.instagram.com/itsrafaloza/,11100,Long Beach,Real Estate
36,https://www.instagram.com/cgulick11/,16300,Long Beach,Cyclist
37,https://www.instagram.com/officerdeonjoseph/,13500,Long Beach,Public Speaker
38,https://www.instagram.com/wagatwe/,29100,Long Beach,Activist
